"";"P";"Player";"Age";"Salary";"GP";"G";"GA";"PlusMin";"NHL"
"861";"D";"Steve Wagner";23;0,37;24;2;6;-4;8
"862";"C";"Stu Barnes";37;0,9;79;12;11;-3;23
"863";"C";"T.J. Hensick";22;0,32;31;6;5;-4;11
"864";"LW";"Tanner Glass";24;0,51;41;1;1;-5;2
"865";"LW";"Taylor Pyatt";26;1,57;79;16;21;9;37
"866";"LW";"Ted Purcell";22;0,15;10;1;2;2;3
"867";"RW";"Teemu Selanne";37;1,07;26;12;11;5;23
"868";"D";"Teppo Numminen";39;0,08;1;0;0;0;0
"869";"D";"Theo Peckham";20;0,01;1;0;0;0;0
"870";"G";"Thomas Greiss";21;0,17;3;0;0;0;0
"871";"D";"Thomas Pock";26;0,08;1;0;0;-2;0
"872";"LW";"Thomas Vanek";23;10;82;36;28;-5;64
"873";"C";"Tim Brent";23;0,01;1;0;0;-1;0
"874";"D";"Tim Conboy";25;0,16;19;0;5;1;5
"875";"C";"Tim Connolly";26;3;48;7;33;4;40
"876";"D";"Tim Gleason";24;1,18;80;3;16;5;19
"877";"RW";"Tim Jackman";26;0,18;36;1;3;-3;4
"878";"D";"Tim Ramholt";23;0,01;1;0;0;-1;0
"879";"G";"Tim Thomas";33;1;57;0;0;0;0
"880";"G";"Tobias Stephan";23;0,04;1;0;0;0;0
"881";"D";"Toby Enstrom";23;0,9;82;5;33;-5;38
"882";"C";"Toby Petersen";29;0,09;8;0;3;0;3
"883";"RW";"Todd Bertuzzi";32;4;68;14;26;8;40
"884";"LW";"Todd Fedoruk";28;0,88;69;6;7;2;13
"885";"C";"Todd Marchant";34;2,47;75;9;7;-3;16
"886";"C";"Todd White";32;2,1;74;14;23;-12;37
"887";"C";"Tom Cavanagh";25;0,01;1;0;1;1;1
"888";"D";"Tom Gilbert";24;0,91;82;13;20;-6;33
"889";"RW";"Tom Kostopoulos";28;0,9;67;7;6;-3;13
"890";"D";"Tom Poti";30;3,5;71;2;27;9;29
"891";"D";"Tom Preissing";29;2,75;77;8;16;-6;24
"892";"LW";"Tom Sestito";20;0;1;0;0;0;0
"893";"LW";"Tomas Fleischmann";23;0,5;75;10;20;-7;30
"894";"RW";"Tomas Holmstrom";34;2,25;59;20;20;9;40
"895";"D";"Tomas Kaberle";29;4,25;82;8;45;-8;53
"896";"C";"Tomas Kopecky";25;0,48;77;5;7;2;12
"897";"C";"Tomas Plekanec";25;1,4;81;29;40;15;69
"898";"C";"Tomas Plihal";24;0,35;22;2;1;4;3
"899";"G";"Tomas Vokoun";31;5,3;69;0;6;0;6
"900";"D";"Toni Lydman";30;2,9;82;4;22;1;26
"901";"C";"Torrey Mitchell";22;0,72;82;10;10;-3;20
"902";"LW";"Travis Moen";25;0,9;77;3;5;-10;8
"903";"C";"Travis Zajac";22;0,98;82;14;20;-11;34
"904";"RW";"Trent Hunter";27;1,55;82;12;29;-17;41
"905";"D";"Trevor Daley";24;0,8;82;5;19;-1;24
"906";"RW";"Trevor Letowski";30;0,8;75;9;9;-10;18
"907";"C";"Trevor Linden";37;0,95;59;7;5;0;12
"908";"RW";"Troy Brouwer";22;0,03;2;0;1;1;1
"909";"C";"Tuomo Ruutu";24;2,25;77;10;22;4;32
"910";"G";"Tuukka Rask";20;0,62;4;0;0;0;0
"911";"G";"Ty Conklin";31;0,33;33;0;1;0;1
"912";"C";"Tyler Arnason";28;1,6;70;10;21;-1;31
"913";"RW";"Tyler Kennedy";21;0,45;55;10;9;2;19
"914";"G";"Tyler Weiman";23;0,06;1;0;0;0;0
"915";"C";"Vaclav Prospal";32;1,9;80;33;38;0;71
"916";"C";"Valtteri Filppula";23;0,85;78;19;17;16;36
"917";"C";"Vernon Fiddler";27;0,8;79;11;21;-4;32
"918";"G";"Vesa Toskala";30;1,38;66;0;5;0;5
"919";"C";"Viktor Kozlov";32;2,5;81;16;38;28;54
"920";"D";"Ville Koistinen";25;0,48;48;4;13;13;17
"921";"LW";"Ville Peltonen";34;1;56;5;15;-2;20
"922";"C";"Vincent Lecavalier";27;7,17;81;40;52;-17;92
"923";"D";"Vitali Vishnevsky";27;1,4;69;2;5;-12;7
"924";"C";"Vladimir Sobotka";20;0,49;48;1;6;1;7
"925";"F";"Wade Belak";31;0,62;47;1;0;-2;1
"926";"F";"Wade Brookbank";30;0,27;32;1;1;4;2
"927";"G";"Wade Dubielewicz";28;0,5;20;0;0;0;0
"928";"D";"Wade Redden";30;6,5;80;6;32;11;38
"929";"C";"Wayne Primeau";31;1,4;43;3;7;-3;10
"930";"C";"Wes Walz";37;1,4;11;1;3;-5;4
"931";"D";"Willie Mitchell";30;3,5;72;2;10;6;12
"932";"LW";"Wojtek Wolski";21;0,86;77;18;30;10;48
"933";"C";"Wyatt Smith";30;0,18;25;0;3;-4;3
"934";"C";"Yan Stastny";25;0,14;12;1;1;0;2
"935";"C";"Yanic Perreault";36;1,5;53;9;5;-1;14
"936";"D";"Zack Fitzgerald";22;0,01;1;0;0;0;0
"937";"RW";"Zack Stortini";22;0,51;66;3;9;3;12
"938";"LW";"Zach Parise";23;2;81;32;33;13;65
"939";"D";"Zbynek Michalek";25;1,2;75;4;13;9;17
"940";"D";"Zdeno Chara";30;7,5;77;17;34;14;51
"941";"C";"Zenon Konopka";27;0,06;3;0;0;-1;0
