"","PlayerId","GPsec","PlayerName","GP"
"73",8469483,67,"David Steckel",67
"74",8469639,82,"Brooks Laich",82
"75",8469684,75,"Milan Jurcina",75
"76",8470039,75,"Tomas Fleischmann",82
"77",8470120,63,"Alexander Semin",72
"78",8470159,67,"Boyd Gordon",67
"79",8470192,20,"Steve Eminger",20
"80",8470564,8,"Joseph Motzko",80
"81",8470611,23,"Eric Fehr",34
"82",8471214,82,"Alex Ovechkin",91
"83",8471240,72,"Jeff Schultz",73
"84",8471242,82,"Mike Green",91
"85",8471246,4,"Chris Bourque",77
"86",8471279,7,"Sami Lepisto",69
"87",8473563,82,"Nicklas Backstrom",91
"88",8456966,76,"Robert Lang",76
"89",8458561,53,"Yanic Perreault",53
"90",8459140,50,"Nikolai Khabibulin",50
"91",8459446,27,"Kevyn Adams",27
"92",8459579,32,"Patrick Lalime",32
"93",8462176,58,"Brent Sopel",58
"94",8465250,32,"Andrei Zyuzin",32
"95",8467899,35,"Martin Havlat",35
"96",8468626,18,"David Koci",46
"97",8468789,43,"Jason Williams",43
"98",8469544,80,"Patrick Sharp",89
"99",8470063,81,"Adam Burish",88
"100",8470222,68,"James Wisniewski",74
"101",8470281,82,"Duncan Keith",91
"102",8470366,5,"Martin St Pierre",88
"103",8470607,82,"Brent Seabrook",82
"104",8470624,7,"Danny Richmond",47
"105",8470645,5,"Corey Crawford",60
"106",8470662,5,"Colin Fraser",80
"107",8470834,67,"Dustin Byfuglien",75
"108",8471216,45,"Cam Barker",74
"109",8471245,39,"Dave Bolland",55
"110",8471254,4,"Bryan Bickell",77
"111",8471281,2,"Adam Berti",48
"112",8471346,13,"Kris Versteeg",69
"113",8471352,19,"Jake Dowell",68
"114",8471408,12,"Petri Kontiola",78
"115",8471426,2,"Troy Brouwer",77
"116",8471504,62,"Rene Bourque",62
"117",8471663,1,"Mike Blunden",75
"118",8471681,16,"Jack Skille",75
"119",8471769,13,"Niklas Hjalmarsson",60
"120",8472370,40,"Jordan Hendry",85
"121",8473604,64,"Jonathan Toews",73
"122",8474141,82,"Patrick Kane",89
"123",8457921,41,"Geoff Sanderson",41
"124",8458541,82,"Steve Staios",91
"125",8460504,25,"Ethan Moreau",25
"126",8460561,26,"Sheldon Souray",26
"127",8460806,43,"Dwayne Roloson",43
"128",8464967,82,"Marty Reasoner",82
"129",8464999,47,"Mathieu Garon",47
"130",8465170,56,"Fernando Pisani",56
"131",8467423,53,"Shawn Horcoff",53
"132",8467469,13,"Allan Rourke",57
"133",8468485,32,"Raffi Torres",32
"134",8468526,81,"Jarret Stoll",81
"135",8469466,74,"Ales Hemsky",74
"136",8470104,82,"Tom Gilbert",89
"137",8470121,46,"Matt Greene",53
"138",8470137,63,"Joni Pitkanen",63
